Name,Designator,Description,Quantity,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","D1","Just a generic LED","1","","",""
"8MHz Crystal","Y2","8MHz Abracom 4-pin crystal.","1","535-13456-1-ND","1.51","1.51"
"12A","L4","Inductor 50Ohms @ 100MHz","1","490-13270-1-ND","0.49021","0.49021"
"0402","C1, C19, C22, C60","0402 capacitor","4","587-3807-6-ND","0.13249","0.52996"
"0402","C2, C4, C5, C15, C30, C31, C37, C43_HEATER CONTROL 1, C43_HEATER CONTROL 2, C44, C46, C47, C48, C51, C66_IMON_3V3, C66_IMON_5V, C66_PACK_IMON, C66_X- IMON, C66_X+ IMON, C66_Y- IMON, C66_Y+ IMON","0402 capacitor","21","587-3807-1-ND","0.0689","1.45"
"0402","C6","0402 capacitor","1","399-17545-1-ND","0.14574","0.14574"
"0402","C7","0402 capacitor","1","445-12236-1-ND","0.19873","0.19873"
"0402","C24","0402 capacitor","1","490-16436-6-ND","0.17224","0.17224"
"0402","C25","0402 capacitor","1","1276-6570-1-ND","0.13249","0.13249"
"0402","C29","0402 capacitor","1","490-14429-6-ND","0.13249","0.13249"
"0402","C32, C33","0402 capacitor","2","490-17533-1-ND","0.47699","0.95399"
"0402","C38","0402 capacitor","1","399-17558-6-ND","0.17224","0.17224"
"0402","C52","0402 capacitor","1","490-4912-6-ND","0.13249","0.13249"
"0402","C58","0402 capacitor","1","490-4914-6-ND","0.13249","0.13249"
"0402","C59","0402 capacitor","1","490-3264-6-ND","0.17224","0.17224"
"0402","C61","0402 capacitor","1","490-8245-6-ND","0.23848","0.23848"
"0402","C62","0402 capacitor","1","490-11984-6-ND","0.13249","0.13249"
"0402","C68","Capacitor","1","490-4762-1-ND","0.1325","0.1325"
"0402","R1, R3, R68, R69, R70, R71, R72, R73","0402 resistor","8","P330LCT-ND","0.05962","0.59624"
"0402","R2, R6, R7, R11, R12, R13, R14, R19, R20, R27, R28, R33, R35, R40, R44, R47, R48, R64, R67, R84, R85","0402 resistor","21","541-10.0KLCT-ND","0.05035","1.06"
"0402","R4","0402 resistor","1","P2.7KDEDKR-ND","0.29148","0.29148"
"0402","R8, R84_DEP-, R84_DEP+, R84_PAY LOAD SWITCH, R84_RBF","0402 resistor","5","P49.9KLCT-ND","0.05962","0.59624"
"0402","R9, R10, R50, R51, R52, R75, R76, R77, R78, R79","0402 resistor","10","P100LCT-ND","0.05962","0.59624"
"0402","R21, R22, R23, R24, R25, R26, R54, R55","0402 resistor","8","P0.0JCT-ND","0.03975","0.39747"
