Field=#~Integer~#~50|Field=Line #~String~Line #~69|Field=Name~String~Name~69|Field=Description~String~Description~89|Field=Value~String~Value~128|Field=Designator~String~Designator~91|Field=Quantity~Integer~Quantity~81|Field=Library Reference~String~Library Reference~67|Field=Manufacturer 1~String~Manufacturer 1~66|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~20|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~21|Field=Supplier 1~String~Supplier 1~67|Field=Supplier Part Number 1~String~Supplier Part Number 1~154|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~138|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~132|Field=Supplier 2~String~Supplier 2~89|Field=Supplier Part Number 2~String~Supplier Part Number 2~155|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~139|Field=Supplier Subtotal 2~Float~Supplier Subtotal 2~133|Field=Supplier 3~String~Supplier 3~89|Field=Supplier Part Number 3~String~Supplier Part Number 3~155|Field=Supplier Unit Price 3~Float~Supplier Unit Price 3~139|Field=Supplier Subtotal 3~Float~Supplier Subtotal 3~133|Field=Manufacturer 4~String~Manufacturer 4~116|Field=Manufacturer Part Number 4~String~Manufacturer Part Number 4~183|Field=Manufacturer Lifecycle 4~String~Manufacturer Lifecycle 4~159|Field=Supplier 4~String~Supplier 4~89|Field=Supplier Part Number 4~String~Supplier Part Number 4~155|Field=Supplier Unit Price 4~Float~Supplier Unit Price 4~139|Field=Supplier Subtotal 4~Float~Supplier Subtotal 4~133|Field=Supplier 5~String~Supplier 5~89|Field=Supplier Part Number 5~String~Supplier Part Number 5~155|Field=Supplier Unit Price 5~Float~Supplier Unit Price 5~139|Field=Supplier Subtotal 5~Float~Supplier Subtotal 5~133|Field=Supplier 6~String~Supplier 6~89|Field=Supplier Part Number 6~String~Supplier Part Number 6~155|Field=Supplier Unit Price 6~Float~Supplier Unit Price 6~139|Field=Supplier Subtotal 6~Float~Supplier Subtotal 6~133|Field=Manufacturer 7~String~Manufacturer 7~116|Field=Manufacturer Part Number 7~String~Manufacturer Part Number 7~183|Field=Manufacturer Lifecycle 7~String~Manufacturer Lifecycle 7~159|Field=Supplier 7~String~Supplier 7~89|Field=Supplier Part Number 7~String~Supplier Part Number 7~155|Field=Supplier Unit Price 7~Float~Supplier Unit Price 7~139|Field=Supplier Subtotal 7~Float~Supplier Subtotal 7~133|Field=Supplier 8~String~Supplier 8~89|Field=Supplier Part Number 8~String~Supplier Part Number 8~155|Field=Supplier Unit Price 8~Float~Supplier Unit Price 8~139|Field=Supplier Subtotal 8~Float~Supplier Subtotal 8~133|Field=Supplier 9~String~Supplier 9~89|Field=Supplier Part Number 9~String~Supplier Part Number 9~155|Field=Supplier Unit Price 9~Float~Supplier Unit Price 9~139|Field=Supplier Subtotal 9~Float~Supplier Subtotal 9~133|ReportField=Currency~CAD|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~eps.PrjPCB|ReportField=ProjectFullPath~C:\Users\Jaden Reimer\Documents\GitHub\pcbs\bus\eps\eps.PrjPCB|ReportField=Title~Bill of Materials For BOM Document [eps.BomDoc]|ReportField=ReportTime~7:05:55 PM|ReportField=ReportDate~2019-09-17|ReportField=ReportDateTime~2019-09-17 7:05:55 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~267|ReportField=TotalActualPrice~222.33|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2019-09-17|ReportField=CurrentTime~6:59:43 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Jaden Reimer\Documents\GitHub\pcbs\pcbs-common\general-designs\schematics\adc-ADS7953.SchDoc|ReportField=DocumentName~adc-ADS7953.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Dylan Vogel|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~2019-08-19|ReportField=Organization~|ReportField=ProjectName~eps.PrjPCB|ReportField=Revision~1.1|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~33|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~eps.BomDoc|ReportField=DataSourceFullPath~C:\Users\Jaden Reimer\Documents\GitHub\pcbs\bus\eps\eps.BomDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|1|ADA4891-1ARJZ-R7|Rail-to-rail amplifier 125mA max|Value|U4, U5, U7, U8|4|ADA4891-1ARJZ-R7|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DRochester%2520Electronics%26mpn%3DADA4891-1ARJZ-R7%26seller%3DDigi-Key%26sku%3DADA4891-1ARJZ-R7CT-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Rochester%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DRochester%2520Electronics%26mpn%3DADA4891-1ARJZ-R7%26seller%3DDigi-Key%26sku%3DADA4891-1ARJZ-R7CT-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ADA4891-1ARJZ-R7{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DRochester%2520Electronics%26mpn%3DADA4891-1ARJZ-R7%26seller%3DDigi-Key%26sku%3DADA4891-1ARJZ-R7CT-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}ADA4891-1ARJZ-R7CT-ND{URL.TIP}Supplier|1.99|7.95||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||
2|2|Part Number: 1SS389|No Description Available|Value|D14|1|1SS389|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DComchip%26mpn%3D1SS389-G%26seller%3DDigi-Key%26sku%3D641-1784-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Comchip{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DComchip%26mpn%3D1SS389-G%26seller%3DDigi-Key%26sku%3D641-1784-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}1SS389-G{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DComchip%26mpn%3D1SS389-G%26seller%3DDigi-Key%26sku%3D641-1784-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}641-1784-6-ND{URL.TIP}Supplier|0.2915|0.2915|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DComchip%26mpn%3D1SS389-G%26seller%3DDigi-Key%26sku%3D641-1784-1-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}641-1784-1-ND{URL.TIP}Supplier|0.2915|0.2915||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||
3|3|0402|Capacitor|10000pF|C68|1|Cap|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCM155R71H103KA55D%26seller%3DDigi-Key%26sku%3D490-4762-1-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCM155R71H103KA55D%26seller%3DDigi-Key%26sku%3D490-4762-1-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GCM155R71H103KA55D{URL.TIP}Manufacturer|Manual Solution|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCM155R71H103KA55D%26seller%3DDigi-Key%26sku%3D490-4762-1-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-4762-1-ND{URL.TIP}Supplier|0.1325|0.1325||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||
4|4|0402|0402 resistor|750K|R81|1|RES0402|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402FR-07750KL%26seller%3DDigi-Key%26sku%3DYAG3228DKR-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402FR-07750KL%26seller%3DDigi-Key%26sku%3DYAG3228DKR-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC0402FR-07750KL{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402FR-07750KL%26seller%3DDigi-Key%26sku%3DYAG3228DKR-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}YAG3228DKR-ND{URL.TIP}Supplier|0.1325|0.1325||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||
5|5|0402|0402 resistor|562K|R32|1|RES0402|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2RKF5623X%26seller%3DDigi-Key%26sku%3DP562KLCT-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2RKF5623X%26seller%3DDigi-Key%26sku%3DP562KLCT-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERJ-2RKF5623X{URL.TIP}Manufacturer|Manual Solution|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2RKF5623X%26seller%3DDigi-Key%26sku%3DP562KLCT-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P562KLCT-ND{URL.TIP}Supplier|0.1325|0.1325||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||
6|6|0402|0402 resistor|511|R83|1|RES0402|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2RKF5110X%26seller%3DDigi-Key%26sku%3DP511LCT-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2RKF5110X%26seller%3DDigi-Key%26sku%3DP511LCT-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERJ-2RKF5110X{URL.TIP}Manufacturer|Manual Solution|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2RKF5110X%26seller%3DDigi-Key%26sku%3DP511LCT-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P511LCT-ND{URL.TIP}Supplier|0.1325|0.1325||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||
7|7|0402|0402 capacitor|470nF|C59|1|CAP0402|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM155R61A474KE15D%26seller%3DDigi-Key%26sku%3D490-3264-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM155R61A474KE15D%26seller%3DDigi-Key%26sku%3D490-3264-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM155R61A474KE15D{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM155R61A474KE15D%26seller%3DDigi-Key%26sku%3D490-3264-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-3264-6-ND{URL.TIP}Supplier|0.17225|0.17225||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||
8|8|0402|0402 resistor|412K|R37|1|RES0402|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2RKF4123X%26seller%3DDigi-Key%26sku%3DP412KLCT-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2RKF4123X%26seller%3DDigi-Key%26sku%3DP412KLCT-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERJ-2RKF4123X{URL.TIP}Manufacturer|Manual Solution|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2RKF4123X%26seller%3DDigi-Key%26sku%3DP412KLCT-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P412KLCT-ND{URL.TIP}Supplier|0.1325|0.1325||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||
9|9|0402|0402 resistor|330|R1, R3, R68, R69, R70, R71, R72, R73|8|RES0402|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2RKF3300X%26seller%3DDigi-Key%26sku%3DP330LCT-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2RKF3300X%26seller%3DDigi-Key%26sku%3DP330LCT-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERJ-2RKF3300X{URL.TIP}Manufacturer|Manual Solution|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2RKF3300X%26seller%3DDigi-Key%26sku%3DP330LCT-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P330LCT-ND{URL.TIP}Supplier|0.05962|0.59624||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||
10|10|0402|0402 capacitor|220pF|C52|1|CAP0402|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCM155R71H221KA37D%26seller%3DDigi-Key%26sku%3D490-4912-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCM155R71H221KA37D%26seller%3DDigi-Key%26sku%3D490-4912-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GCM155R71H221KA37D{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCM155R71H221KA37D%26seller%3DDigi-Key%26sku%3D490-4912-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-4912-6-ND{URL.TIP}Supplier|0.1325|0.1325|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCM155R71H221KA37D%26seller%3DDigi-Key%26sku%3D490-4912-1-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-4912-1-ND{URL.TIP}Supplier|0.1325|0.1325|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCM155R71H221KA37D%26seller%3DDigi-Key%26sku%3D490-4912-2-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-4912-2-ND{URL.TIP}Supplier|0.01189|118.85|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier|||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||||{URL}{URL.TEXT}{URL.TIP}Supplier||
