Field=#~Integer~#~50|Field=Line #~String~Line #~142|Field=Name~String~Name~282|Field=Description~String~Description~198|Field=Designator~String~Designator~194|Field=Quantity~Integer~Quantity~168|Field=Manufacturer 1~String~Manufacturer 1~268|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~372|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~328|Field=Supplier 1~String~Supplier 1~262|Field=Supplier Part Number 1~String~Supplier Part Number 1~318|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~288|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~278|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~obc.PrjPCB|ReportField=ProjectFullPath~C:\Users\Owner\Documents\GitHub\pcbs\bus\obc\obc.PrjPCB|ReportField=Title~Bill of Materials For BOM Document [obc.BomDoc]|ReportField=ReportTime~11:57:34 PM|ReportField=ReportDate~9/3/2019|ReportField=ReportDateTime~9/3/2019 11:57:34 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~70|ReportField=TotalActualPrice~40.44|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~9/3/2019|ReportField=CurrentTime~11:57:20 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Owner\Documents\GitHub\pcbs\pcbs-common\general-designs\schematics\can-SN65HVD233.SchDoc|ReportField=DocumentName~can-SN65HVD233.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Dylan Vogel|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~8/26/2019|ReportField=Organization~UTAT SS|ReportField=ProjectName~obc.PrjPCB|ReportField=Revision~1.2|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~10|ReportField=Time~|ReportField=Title~SN65HVD233|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~obc.BomDoc|ReportField=DataSourceFullPath~C:\Users\Owner\Documents\GitHub\pcbs\bus\obc\obc.BomDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||LED0603|Generic 0603 LED. Use ChipLED from Osram for generic ones.|D7, D8, D9, D10, D11, D12|6|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||
2||0402|0402 capacitor|C38|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0402C470J3RACAUTO%26seller%3DDigi-Key%26sku%3D399-17558-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0402C470J3RACAUTO%26seller%3DDigi-Key%26sku%3D399-17558-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0402C470J3RACAUTO{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0402C470J3RACAUTO%26seller%3DDigi-Key%26sku%3D399-17558-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}399-17558-1-ND{URL.TIP}Supplier|0.17333|0.17333
3||0402|0402 capacitor|C49, C50|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0402C220K4RAC7867%26seller%3DDigi-Key%26sku%3D399-17554-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0402C220K4RAC7867%26seller%3DDigi-Key%26sku%3D399-17554-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0402C220K4RAC7867{URL.TIP}Manufacturer|Unknown|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0402C220K4RAC7867%26seller%3DDigi-Key%26sku%3D399-17554-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}399-17554-1-ND{URL.TIP}Supplier|0.25333|0.50666
4||0402|0402 resistor|R49, R53|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW040260R4FKED%26seller%3DDigi-Key%26sku%3D541-60.4LCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW040260R4FKED%26seller%3DDigi-Key%26sku%3D541-60.4LCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW040260R4FKED{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW040260R4FKED%26seller%3DDigi-Key%26sku%3D541-60.4LCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-60.4LCT-ND{URL.TIP}Supplier|0.13333|0.26666
5||0402|0402 resistor|R54, R55|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2GE0R00X%26seller%3DDigi-Key%26sku%3DP0.0JCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2GE0R00X%26seller%3DDigi-Key%26sku%3DP0.0JCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERJ-2GE0R00X{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2GE0R00X%26seller%3DDigi-Key%26sku%3DP0.0JCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P0.0JCT-ND{URL.TIP}Supplier|0.13333|0.26666
6||0402|0402 resistor|R6, R9|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-2AEB472X%26seller%3DDigi-Key%26sku%3DP4.7KDCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-2AEB472X%26seller%3DDigi-Key%26sku%3DP4.7KDCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERA-2AEB472X{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-2AEB472X%26seller%3DDigi-Key%26sku%3DP4.7KDCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P4.7KDCCT-ND{URL.TIP}Supplier|0.59999|1.2
7||0402|0402 resistor|R66, R67, R68, R69, R70, R71|6|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3DCRGCQ0402F330R%26seller%3DDigi-Key%26sku%3DA129621CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TE%20Connectivity{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3DCRGCQ0402F330R%26seller%3DDigi-Key%26sku%3DA129621CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRGCQ0402F330R{URL.TIP}Manufacturer|Unknown|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3DCRGCQ0402F330R%26seller%3DDigi-Key%26sku%3DA129621CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}A129621CT-ND{URL.TIP}Supplier|0.02933|0.29333
8||0402|0402 resistor|R72|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DAC0402FR-0730KL%26seller%3DDigi-Key%26sku%3DYAG3474CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DAC0402FR-0730KL%26seller%3DDigi-Key%26sku%3DYAG3474CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}AC0402FR-0730KL{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DAC0402FR-0730KL%26seller%3DDigi-Key%26sku%3DYAG3474CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}YAG3474CT-ND{URL.TIP}Supplier|0.13333|0.13333
9||0603|Inductor|L3|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DMLZ1608N100LTD25%26seller%3DDigi-Key%26sku%3D445-17067-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DMLZ1608N100LTD25%26seller%3DDigi-Key%26sku%3D445-17067-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MLZ1608N100LTD25{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DMLZ1608N100LTD25%26seller%3DDigi-Key%26sku%3D445-17067-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-17067-1-ND{URL.TIP}Supplier|0.29333|0.29333
10||0805|0805 capacitor|C36, C45|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCM21BR70J106KE22K%26seller%3DDigi-Key%26sku%3D490-14361-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCM21BR70J106KE22K%26seller%3DDigi-Key%26sku%3D490-14361-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GCM21BR70J106KE22K{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCM21BR70J106KE22K%26seller%3DDigi-Key%26sku%3D490-14361-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-14361-1-ND{URL.TIP}Supplier|0.55999|1.12
11||8MHz Crystal|8MHz Abracom 4-pin crystal.|Y2|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAbracon%26mpn%3DABM3B-8.000MHZ-10-D-1-G-T%26seller%3DDigi-Key%26sku%3D535-13456-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Abracon{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAbracon%26mpn%3DABM3B-8.000MHZ-10-D-1-G-T%26seller%3DDigi-Key%26sku%3D535-13456-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ABM3B-8.000MHZ-10-D-1-G-T{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAbracon%26mpn%3DABM3B-8.000MHZ-10-D-1-G-T%26seller%3DDigi-Key%26sku%3D535-13456-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}535-13456-1-ND{URL.TIP}Supplier|1.52|1.52
