Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~obc-comm.PrjPcb|ReportField=ProjectFullPath~D:\Ali\Documents\GitHub\pcbs\obc-comm\obc-comm.PrjPcb|ReportField=Title~Bill of Materials For Project [obc-comm.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~10:48:40 PM|ReportField=ReportDate~2018-05-20|ReportField=ReportDateTime~2018-05-20 10:48:40 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~229|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~4850349d00672dec3880fa645597d35415256902|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018-05-20|ReportField=CurrentTime~10:26:46 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Ali\Documents\GitHub\pcbs\obc-comm\bus-main.SchDoc|ReportField=DocumentName~bus-main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018-05-13|ReportField=Organization~|ReportField=ProjectName~obc-comm.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~obc-comm.PrjPcb|ReportField=DataSourceFullPath~D:\Ali\Documents\GitHub\pcbs\obc-comm\obc-comm.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|REF5025|Voltage Reference|*1|DGK8-M|REF5025|1
2|ADS7952|ADC|*2|QFN50P500X500X100-32N|ADS7952|1
3|INA214|Current monitor|*3, *4, *5, *6, *7, *8, *27, U13|SOT65P210X110-6N|INA214|8
4|ADA4891-4|Op-amps|*12, *20|R_14|ADA4891-4|2
5|BSC026NE2LS5|MOSFET|*13, *17, *22, *26, Q5, Q6|INF-PG-TDSON-8-1_V|BSC026NE2LS5|6
6|SM74611|PV Diode|*?, *9, *10, *11, *14, *15, *16, *18, *19, *21, *23, *24, *25|TO254P1435X464-3N|SM74611|13
7|J5|Header, 4-Pin|+BATT|DF14-4P-1.25H(55)|Header 4|1
8|J6|Header, 4-Pin|-BATT|DF14-4P-1.25H(55)|Header 4|1
9|R17|Resistor|1|1608[0603]|Res2|1
10|RtA1|Resistor|2, 12|1608[0603]|Res2|2
11|CbstA1|Capacitor|3, 13|1608[0603]|Cap|2
12|RfbtA1|Resistor|4, 14|1608[0603]|Res2|2
13|R19|Resistor|5, 15|1608[0603]|Res2|2
14|CssA1|Capacitor|6, 16|1608[0603]|Cap|2
15|CoutA1|Capacitor|7, 17|1608[0603]|Cap|2
16|RfbbA1|Resistor|8, 18|1608[0603]|Res2|2
17||Capacitor, Inductor, Resistor|9, 19, C42, C44, Ccomp1, Ccomp2, Cin3, Cin4, CinA1, CinA2, CvccA1, CvccA2, LA1, LA2, RcompA1, RcompA2, RlimA1, RlimA2|1608[0603]|Cap, Inductor, Res2|18
18|R20|Resistor|10, 20|1608[0603]|Res2|2
19|TPS630250|Buck-boost converter|BB1, BB2|RNC0014A|TPS630250|2
20|TPS61088|Boost converter|BT1, BT2|QFN50P450X350X100-21N|TPS61088|2
21|Cap|Capacitor|C27, C29, Cin1, Cin2, Cout1, Cout2, Coutx1, Coutx2|1608[0603]|Cap|8
22|Ceramic|Capacitor (Semiconductor SIM Model)|C33, C38|1608[0603]|Cap Semi|2
23|0.1uF|Capacitor (Semiconductor SIM Model)|C34, C39|1608[0603]|Cap Semi|2
24|1%|Capacitor (Semiconductor SIM Model)|C?, C25, C26|1608[0603]|Cap Semi|4
