Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~pay-optical.PrjPCB|ReportField=ProjectFullPath~C:\Users\Dylan Vogel\Files\Coding Projects\pcbs\payload\pay-optical\pay-optical.PrjPCB|ReportField=Title~Bill of Materials For Project [pay-optical.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~11:55:19 PM|ReportField=ReportDate~2018-06-17|ReportField=ReportDateTime~2018-06-17 11:55:19 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~25|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2018-06-17|ReportField=CurrentTime~11:50:51 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Dylan Vogel\Files\Coding Projects\pcbs\payload\pay-optical\analog-to-digital.SchDoc|ReportField=DocumentName~analog-to-digital.SchDoc|ReportField=DocumentNumber~3|ReportField=DrawnBy~Dylan Vogel|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~2018-06-17|ReportField=Organization~UTAT SS|ReportField=ProjectName~pay-optical.PrjPCB|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~3|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~ADC-OPTICAL|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~pay-optical.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Dylan Vogel\Files\Coding Projects\pcbs\payload\pay-optical\pay-optical.PrjPCB|ReportField=PCBDataSourceFileName~pay-optical.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\Dylan Vogel\Files\Coding Projects\pcbs\payload\pay-optical\pay-optical.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|10uF|Capacitor (Semiconductor SIM Model)|C1, C2, C3, C4, C5, C6, C7, C8, C10, C14|1608[0603]|Cap Semi|10
2|0.1uF|Capacitor (Semiconductor SIM Model)|C9, C11, C15|0402|Cap Semi|3
3|Cap Semi|Capacitor (Semiconductor SIM Model)|C12|0402|Cap Semi|1
4|4.7uF|Capacitor (Semiconductor SIM Model)|C16|1608[0603]|Cap Semi|1
5|10K Quad|Quad pack resistor|R1|ResQuad-320X150|Res Quad Pack|1
6|1K Quad|Quad pack resistor|R2, R5|ResQuad-320X150|Res Quad Pack|2
7|10K|Resistor|R3, R4|0402|Res3|2
8|Res3|Resistor|R6, R7|0402|Res3|2
9|AD7194|24-bit sigma-delta ADC|U1|QFN50P500X500X100-32N|AD7194|1
10|ADR391|2.5V reference voltage.|U2|SOT-23-5_95P290X160-5N|ADR391|1
11|MCP6546|Open-drain output sub-microamp comparator.|U15|SOT-23-5_95P290X160-5N|MCP6546|1
