Field=#~Integer~#~50|Field=Line #~String~Line #~138|Field=Name~String~Name~176|Field=Description~String~Description~216|Field=Designator~String~Designator~186|Field=Quantity~Integer~Quantity~162|Field=Supplier~String~Supplier~160|Field=Supplier 1~String~Supplier 1~178|Field=Supplier Part Number~String~Supplier Part Number~290|Field=Supplier Part Number 1~String~Supplier Part Number 1~308|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~276|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~264|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~pay-ssm.PrjPCB|ReportField=ProjectFullPath~C:\Users\Dylan Vogel\Files\Coding Projects\pcbs\payload\pay-ssm\pay-ssm.PrjPCB|ReportField=Title~Bill of Materials For BOM Document [pay-ssm.BomDoc]|ReportField=ReportTime~7:51:21 PM|ReportField=ReportDate~2018-06-21|ReportField=ReportDateTime~2018-06-21 7:51:21 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~199|ReportField=TotalActualPrice~67.3|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2018-06-21|ReportField=CurrentTime~7:50:29 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Dylan Vogel\Files\Coding Projects\pcbs\payload\pay-ssm\ATmega32M1.SchDoc|ReportField=DocumentName~ATmega32M1.SchDoc|ReportField=DocumentNumber~2|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~2018-06-21|ReportField=Organization~|ReportField=ProjectName~pay-ssm.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~14|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~pay-ssm.BomDoc|ReportField=DataSourceFullPath~C:\Users\Dylan Vogel\Files\Coding Projects\pcbs\payload\pay-ssm\pay-ssm.BomDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||0.1uF|Capacitor (Semiconductor SIM Model)|C1, C4, C5, C6, C10, C12, C13, C14, C19, C20, C21, C23, C28, C29, C30, C35, C37, C38, C39, C42, C43, C62|22|Digi-Key|Digi-Key|311-1341-1-ND |{URL}{URL.TEXT}{URL.TIP}Supplier||
2||10uF|Capacitor (Semiconductor SIM Model)|C2, C9, C16_MC1, C16_MC2, C22, C24, C26, C34|8|Digi-Key|Digi-Key|490-10475-1-ND, 587-3258-1-ND|{URL}{URL.TEXT}{URL.TIP}Supplier||
3||15pF 1%|Capacitor (Semiconductor SIM Model)|C7, C8, C44, C45|4|Digi-Key|Digi-Key|490-16416-1-ND|{URL}{URL.TEXT}{URL.TIP}Supplier||
4||47pF|Capacitor (Semiconductor SIM Model)|C11|1|Digi-Key|Digi-Key|490-4944-1-ND |{URL}{URL.TEXT}{URL.TIP}Supplier||
5||100pF|Capacitor (Semiconductor SIM Model)|C15|1|Digi-Key|Digi-Key|490-1351-1-ND |{URL}{URL.TEXT}{URL.TIP}Supplier||
6||10nF 16V X7R|Capacitor (Semiconductor SIM Model)|C17_MC1, C17_MC2|2|Digi-Key|Digi-Key|1276-1132-1-ND |{URL}{URL.TEXT}{URL.TIP}Supplier||
7||2.2uF|Capacitor (Semiconductor SIM Model)|C18_MC1, C18_MC2|2|Digi-Key|Digi-Key|490-10731-1-ND |{URL}{URL.TEXT}{URL.TIP}Supplier||
8||1uF|Capacitor (Semiconductor SIM Model)|C25, C31, C33, C36|4|Digi-Key|Digi-Key|1276-1860-1-ND|{URL}{URL.TEXT}{URL.TIP}Supplier||
9||0.22uF|Capacitor (Semiconductor SIM Model)|C27|1|Digi-Key|Digi-Key|1276-1112-1-ND|{URL}{URL.TEXT}{URL.TIP}Supplier||
10||10uF|Capacitor|C32|1|Digi-Key|Digi-Key|490-10475-1-ND|{URL}{URL.TEXT}{URL.TIP}Supplier||
11||100pF|Capacitor (Semiconductor SIM Model)|C63|1|Digi-Key|Digi-Key|490-1351-1-ND |{URL}{URL.TEXT}{URL.TIP}Supplier||
12||150nF|Capacitor (Semiconductor SIM Model)|C64|1|Digi-Key|Digi-Key|490-11495-1-ND |{URL}{URL.TEXT}{URL.TIP}Supplier||
13||LED2|Typical RED, GREEN, YELLOW, AMBER GaAs LED|D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D15, D16, D17, D18_MC1, D18_MC2|17|Digi-Key|Digi-Key||{URL}{URL.TEXT}{URL.TIP}Supplier||
14||PROG|Header, 3-Pin, Dual row|P1|1|Digi-Key|Digi-Key|SAM1034-03-ND |{URL}{URL.TEXT}{URL.TIP}Supplier||
15||INCOMING FROM OBC|Header, 10-Pin|P2|1|Digi-Key|Digi-Key|H10329CT-ND|{URL}{URL.TEXT}{URL.TIP}Supplier||
16||THERMISTORS 1-5|Header, 10-Pin|P3|1|Digi-Key|Digi-Key|H10329CT-ND|{URL}{URL.TEXT}{URL.TIP}Supplier||
